Age at Training,SEX,EVENT_YEAR,GRADE,STATE,ZIP_CODE,ASVAB_AFQT_PERCENTILE,ASVAB_ADMIN,ASVAB_ELEC,ASVAB_GEN,ASVAB_MECH,ASVAB_AVERAGE,MARITAL_STATUS,Grad,Elim
29,M,2003,92,IA,51103,32,42,40,26,12,30,UNKNOWN,Yes,No
20,F,2004,82,NJ,08201,30,57,17,27,19,30,UNKNOWN,Yes,No
20,F,2003,88,NM,88130,37,47,25,32,16,30,M,Yes,No
30,F,2004,84,DE,19977,30,43,22,24,31,30,M,Yes,No
19,M,2003,87,HI,96706,26,32,34,24,31,30.25,S,Yes,No
22,M,2004,79,MI,49006,32,33,22,32,34,30.25,S,Yes,No
19,F,2003,92,CA,93436,35,47,30,24,20,30.25,M,Yes,No
20,F,2004,86,NY,11967,34,35,21,36,29,30.25,M,Yes,No
22,M,2003,88,TX,76384,31,37,28,30,27,30.5,UNKNOWN,Yes,No
32,F,2004,99,NY,14223,35,48,28,26,20,30.5,S,Yes,No
21,M,2004,93,TX,78236,37,50,19,28,25,30.5,S,Yes,No
19,F,2005,78,CA,91768,32,37,33,28,24,30.5,S,Yes,No
19,F,2003,83,ID,83647,36,47,19,30,26,30.5,M,Yes,No
22,F,2004,78,TX,79927,43,37,24,33,28,30.5,M,Yes,No
19,F,2004,93,NE,67123,36,45,17,32,29,30.75,S,Yes,No
21,F,2004,85,TX,79924,36,30,20,47,26,30.75,S,Yes,No
18,F,2004,82,MD,21074,34,46,19,26,32,30.75,S,Yes,No
23,M,2003,87,SC,29150,30,28,34,38,23,30.75,M,Yes,No
25,M,2004,97,NY,10562,37,25,31,42,25,30.75,D,Yes,No
25,F,2004,86,AL,36545,34,39,25,32,28,31,UNKNOWN,Yes,No
20,M,2003,74,GA,31028,31,48,33,21,22,31,UNKNOWN,Yes,No
20,F,2004,87,OK,73521,41,45,20,26,33,31,S,Yes,No
19,F,2003,86,MN,55803,38,25,26,38,35,31,S,Yes,No
19,M,2004,80,CA,95993,33,32,30,38,24,31,S,Yes,No
19,F,2005,80,AP,96264,36,39,23,36,26,31,M,Yes,No
20,F,2004,78,NV,89031,37,41,17,38,28,31,M,Yes,No
18,F,2003,77,IL,62221,36,44,23,32,26,31.25,UNKNOWN,Yes,No
19,F,2003,89,LA,71118,30,47,36,19,23,31.25,S,Yes,No
26,F,2005,89,OK,73110,33,32,26,36,31,31.25,S,Yes,No
19,M,2004,82,LA,71202,36,47,26,28,24,31.25,S,Yes,No
23,M,2004,74,OK,74743,33,31,28,36,30,31.25,S,Yes,No
25,F,2004,98,MD,21237,26,35,44,24,22,31.25,M,Yes,No
40,M,2004,90,MD,21801,25,23,24,30,48,31.25,M,Yes,No
23,M,2004,87,VA,23666,36,47,30,28,20,31.25,M,Yes,No
43,M,2005,73,WA,98541,32,28,8,33,56,31.25,M,Yes,No
23,M,2003,91,IN,46714,32,37,32,29,28,31.5,UNKNOWN,Yes,No
19,F,2003,90,NY,11575,41,61,19,26,20,31.5,UNKNOWN,Yes,No
19,M,2004,84,CT,06084,35,42,26,30,28,31.5,S,Yes,No
29,F,2005,70,UT,84056,40,5,70,32,19,31.5,M,Yes,No
19,M,2004,70,GA,76541,36,34,26,44,23,31.75,S,No,Yes
18,F,2003,91,CA,93726,41,57,23,29,18,31.75,UNKNOWN,Yes,No
20,M,2004,74,AL,32515,35,48,33,26,20,31.75,UNKNOWN,Yes,No
32,F,2004,92,NY,12566,36,50,22,27,28,31.75,S,Yes,No
22,F,2004,87,AR,72076,36,39,21,38,29,31.75,S,Yes,No
19,F,2005,85,FL,32539,36,50,36,24,17,31.75,S,Yes,No
20,M,2005,83,TX,78071,32,47,38,20,22,31.75,S,Yes,No
19,F,2003,80,CA,95843,37,39,22,40,26,31.75,S,Yes,No
23,M,2004,78,PA,17543,32,33,30,30,34,31.75,S,Yes,No
33,M,2004,87,UT,84084,31,43,14,32,38,31.75,M,Yes,No
28,F,2004,85,PA,19403,32,41,24,36,26,31.75,M,Yes,No
25,F,2005,84,WA,98373,30,30,33,36,28,31.75,M,Yes,No
21,F,2004,75,TX,78573,37,37,23,42,25,31.75,M,Yes,No
43,F,2004,85,AK,99508,38,46,37,39,5,31.75,D,Yes,No
30,F,2003,77,NJ,07111,36,42,26,33,27,32,UNKNOWN,Yes,No
22,M,2004,94,KS,66441,38,45,19,38,26,32,S,Yes,No
19,F,2004,81,KS,67002,32,39,27,34,28,32,S,Yes,No
19,F,2004,80,PA,16201,30,41,31,36,20,32,S,Yes,No
20,F,2003,80,FL,32539,36,45,31,30,22,32,S,Yes,No
26,M,2003,96,SC,29501,30,55,24,36,13,32,M,Yes,No
27,M,2004,82,SC,29501,30,55,24,36,13,32,M,Yes,No
24,F,2003,70,MI,49442,32,33,30,32,34,32.25,UNKNOWN,No,Yes
28,F,2003,98,SC,29203,33,46,24,34,25,32.25,UNKNOWN,Yes,No
19,F,2003,76,NM,88330,33,37,29,36,27,32.25,UNKNOWN,Yes,No
20,M,2003,84,MT,59401,33,35,31,30,33,32.25,S,Yes,No
22,F,2004,81,TX,78210,36,43,28,32,26,32.25,S,Yes,No
20,M,2004,80,AE,9717,37,35,19,44,31,32.25,S,Yes,No
19,F,2003,80,VA,22306,36,52,30,24,23,32.25,S,Yes,No
18,F,2004,77,FL,32259,36,42,32,33,22,32.25,S,Yes,No
41,M,2004,96,IL,60085,41,34,26,44,25,32.25,M,Yes,No
20,F,2004,85,CA,93523,36,43,24,33,29,32.25,M,Yes,No
25,F,2004,82,TX,78252,37,37,24,44,24,32.25,M,Yes,No
25,M,2004,80,GU,96932,29,28,28,33,40,32.25,M,Yes,No
19,F,2003,80,OH,45431,40,49,22,33,25,32.25,M,Yes,No
20,F,2004,82,OR,97236,33,37,19,42,32,32.5,UNKNOWN,Yes,No
19,F,2004,86,ND,58704,42,57,27,32,14,32.5,S,Yes,No
19,F,2005,86,KS,67208,36,43,28,30,29,32.5,S,Yes,No
19,F,2003,76,MO,65336,37,41,24,40,25,32.5,S,Yes,No
21,M,2003,84,CA,93437,36,49,33,24,24,32.5,M,Yes,No
22,F,2004,80,SC,29485,42,52,22,33,23,32.5,M,Yes,No
20,F,2005,72,CA,92105,37,50,25,28,28,32.75,S,Yes,No
22,M,2003,87,MS,38901,31,37,32,36,26,32.75,UNKNOWN,Yes,No
20,F,2003,86,CA,95678,33,51,28,30,22,32.75,UNKNOWN,Yes,No
20,M,2004,83,NJ,08065,33,39,28,36,28,32.75,UNKNOWN,Yes,No
21,M,2005,86,NY,10453,37,43,30,36,22,32.75,S,Yes,No
19,F,2004,82,LA,70763,33,39,31,36,25,32.75,S,Yes,No
19,M,2004,81,AL,36108,37,56,26,24,25,32.75,S,Yes,No
33,F,2004,70,OK,73142,40,63,21,36,11,32.75,S,Yes,No
19,M,2004,91,IL,62269,36,43,33,32,23,32.75,M,Yes,No
18,M,2003,84,ND,58204,40,41,24,42,24,32.75,M,Yes,No
19,F,2003,81,CA,94533,40,45,33,38,15,32.75,M,Yes,No
33,M,2003,81,GA,31026,34,37,35,33,26,32.75,M,Yes,No
21,M,2004,63,US,9824,42,55,22,33,22,33,S,Yes,No
22,F,2003,86,GA,31047,38,54,30,27,21,33,UNKNOWN,Yes,No
23,F,2003,91,NJ,08332,30,30,28,36,38,33,S,Yes,No
19,M,2003,91,AR,72701,35,50,34,23,25,33,S,Yes,No
21,M,2003,82,MO,63146,32,44,28,32,28,33,S,Yes,No
21,M,2004,79,US,9824,42,55,22,33,22,33,S,Yes,No
38,M,2004,94,WA,99224,26,56,13,28,35,33,M,Yes,No
36,F,2004,90,MO,63034,50,30,24,49,29,33,M,Yes,No
19,M,2004,87,GA,31005,36,41,45,33,13,33,M,Yes,No
22,F,2005,86,AL,36117,36,35,24,42,31,33,M,Yes,No
33,M,2004,83,CA,93727,29,30,28,32,42,33,M,Yes,No
21,M,2003,83,AL,36117,33,39,19,33,41,33,M,Yes,No
20,F,2003,79,NM,88101,36,41,35,33,23,33,D,Yes,No
20,M,2004,74,TX,76908,42,42,20,44,27,33.25,S,No,Yes
25,M,2003,63,LA,71111,38,44,19,34,36,33.25,UNKNOWN,Yes,No
19,F,2003,86,TX,79364,43,59,20,32,22,33.25,UNKNOWN,Yes,No
23,F,2003,86,MS,39208,35,55,40,21,17,33.25,UNKNOWN,Yes,No
25,M,2003,83,LA,71111,38,44,19,34,36,33.25,UNKNOWN,Yes,No
19,M,2003,80,OK,73003,31,26,41,37,29,33.25,UNKNOWN,Yes,No
21,F,2003,77,DC,20020,34,51,19,33,30,33.25,UNKNOWN,Yes,No
20,F,2004,91,AZ,85613,37,45,26,36,26,33.25,S,Yes,No
20,F,2003,89,WA,98311,34,52,23,30,28,33.25,S,Yes,No
19,M,2003,87,AR,72921,26,37,30,38,28,33.25,S,Yes,No
20,F,2004,86,GA,31008,34,42,31,30,30,33.25,S,Yes,No
26,F,2004,77,AL,36617,35,43,23,30,37,33.25,S,Yes,No
19,F,2004,72,LA,70506,34,51,31,30,21,33.25,S,Yes,No
20,F,2004,94,FL,32539,37,41,28,38,26,33.25,M,Yes,No
24,F,2003,76,OK,73099,35,28,17,47,41,33.25,M,Yes,No
19,M,2003,73,VA,23693,37,41,26,38,28,33.25,M,Yes,No
21,F,2003,79,AP,96266,42,52,23,33,25,33.25,D,Yes,No
20,F,2004,57,CA,94804,43,61,25,30,18,33.5,S,Yes,No
20,F,2004,53,NE,68123,42,47,24,40,23,33.5,M,Yes,No
19,F,2003,76,SC,29172,42,51,28,34,21,33.5,UNKNOWN,Yes,No
27,F,2003,74,OK,73005,37,42,28,34,30,33.5,UNKNOWN,Yes,No
28,F,2003,91,MN,55068,34,39,28,36,31,33.5,S,Yes,No
21,M,2004,75,NJ,07107,33,29,30,39,36,33.5,S,Yes,No
20,F,2004,74,CA,94804,43,61,25,30,18,33.5,S,Yes,No
19,M,2003,71,PA,19605,36,39,24,38,33,33.5,S,Yes,No
35,M,2003,95,FL,33023,28,47,36,15,36,33.5,M,Yes,No
20,M,2004,77,VA,23665,36,41,28,36,29,33.5,M,Yes,No
20,F,2004,75,NE,68123,42,47,24,40,23,33.5,M,Yes,No
19,F,2005,37,IL,60633,34,43,21,44,27,33.75,S,No,Yes
19,F,2004,76,MD,21113,41,50,29,34,22,33.75,S,Yes,No
24,F,2003,98,TX,77598,41,51,21,33,30,33.75,UNKNOWN,Yes,No
21,F,2004,94,NY,12206,36,54,32,25,24,33.75,UNKNOWN,Yes,No
31,F,2004,90,GA,31405,34,43,20,44,28,33.75,S,Yes,No
19,F,2004,85,MD,21113,41,50,29,34,22,33.75,S,Yes,No
19,F,2004,83,NV,89178,43,45,21,44,25,33.75,S,Yes,No
23,M,2003,81,SD,57706,36,45,40,30,20,33.75,S,Yes,No
20,M,2004,78,NJ,07731,34,39,42,32,22,33.75,S,Yes,No
21,M,2003,78,MO,65336,36,47,33,30,25,33.75,S,Yes,No
29,F,2004,88,GU,96932,37,35,25,44,31,33.75,M,Yes,No
45,M,2005,85,TN,37865,26,17,38,30,50,33.75,M,Yes,No
26,F,2003,80,TX,76627,37,56,26,38,15,33.75,M,Yes,No
20,F,2004,62,MS,39503,45,49,21,44,22,34,S,Yes,No
19,F,2003,53,NY,13090,36,47,33,30,26,34,S,Yes,No
19,F,2003,88,TX,79605,40,44,25,37,30,34,UNKNOWN,Yes,No
27,F,2005,95,NJ,08046,37,50,36,30,20,34,S,Yes,No
22,F,2003,92,CA,94535,37,52,31,24,29,34,S,Yes,No
22,M,2003,88,VA,22315,36,39,36,38,23,34,S,Yes,No
22,M,2003,85,PA,15301,34,47,28,32,29,34,S,Yes,No
19,M,2003,84,OH,43607,36,37,30,38,31,34,S,Yes,No
19,F,2003,82,MT,59405,40,46,32,36,22,34,S,Yes,No
19,M,2005,81,FL,33064,37,43,22,36,35,34,S,Yes,No
19,F,2003,80,NY,13090,36,47,33,30,26,34,S,Yes,No
21,F,2004,79,WI,53227,34,42,28,36,30,34,S,Yes,No
22,F,2004,76,CT,6854,40,48,28,34,26,34,S,Yes,No
20,F,2004,74,MS,39503,45,49,21,44,22,34,S,Yes,No
18,F,2004,73,PA,18014,37,43,30,38,25,34,S,Yes,No
19,F,2004,88,GA,31088,36,52,34,24,26,34,M,Yes,No
20,F,2004,87,FL,32563,41,59,33,24,20,34,M,Yes,No
28,F,2003,85,WY,82001,37,39,22,42,33,34,M,Yes,No
19,F,2003,84,MD,20639,37,43,22,38,33,34,M,Yes,No
23,F,2004,81,MD,20751,34,34,36,38,28,34,M,Yes,No
19,F,2005,74,WV,25801,41,52,40,32,13,34.25,M,Yes,No
18,F,2004,85,IL,62881,35,42,43,30,22,34.25,UNKNOWN,Yes,No
26,F,2003,81,IL,62546,50,37,29,50,21,34.25,UNKNOWN,Yes,No
19,M,2003,80,MO,65667,32,37,41,30,29,34.25,UNKNOWN,Yes,No
28,F,2003,79,GA,31606,35,35,33,33,36,34.25,UNKNOWN,Yes,No
20,F,2003,75,SC,29541,42,50,29,36,22,34.25,UNKNOWN,Yes,No
21,M,2004,86,IN,46231,35,39,38,36,24,34.25,S,Yes,No
20,M,2004,83,AZ,85741,42,50,26,36,25,34.25,S,Yes,No
18,M,2004,82,OR,97123,30,27,36,38,36,34.25,S,Yes,No
23,M,2004,78,OK,73038,33,35,33,33,36,34.25,S,Yes,No
19,F,2004,73,GU,96928,37,38,35,37,27,34.25,S,Yes,No
34,M,2003,93,AL,36507,36,32,28,44,33,34.25,M,Yes,No
23,M,2003,87,GA,31602,36,43,33,32,29,34.25,M,Yes,No
28,F,2004,85,NY,14030,35,45,35,28,29,34.25,M,Yes,No
19,F,2004,83,AR,72390,41,50,34,34,19,34.25,M,Yes,No
22,M,2003,82,CO,80916,36,37,34,38,28,34.25,M,Yes,No
48,F,2004,87,AL,36117,21,64,24,27,22,34.25,D,Yes,No
27,F,2003,87,OR,97009,34,57,15,34,32,34.5,UNKNOWN,Yes,No
20,M,2003,78,KY,40299,35,33,30,32,43,34.5,UNKNOWN,Yes,No
19,F,2004,99,IL,60804,37,55,34,24,25,34.5,S,Yes,No
18,F,2004,94,NM,88330,40,52,36,30,20,34.5,S,Yes,No
18,F,2004,91,LA,71110,36,30,30,47,31,34.5,S,Yes,No
20,F,2004,87,IL,60625,35,50,42,26,20,34.5,S,Yes,No
30,F,2004,84,AL,36260,40,72,20,36,10,34.5,S,Yes,No
19,M,2005,84,TN,37189,37,50,30,30,28,34.5,S,Yes,No
19,M,2004,82,GA,31088,41,46,32,37,23,34.5,S,Yes,No
19,F,2004,78,AE,9464,41,47,25,38,28,34.5,S,Yes,No
29,F,2004,72,GU,96928,30,30,34,38,36,34.5,S,Yes,No
18,F,2003,71,NY,13778,41,46,28,37,27,34.5,S,Yes,No
19,M,2003,91,MN,55124,35,32,40,28,38,34.5,M,Yes,No
24,F,2003,96,FL,33055,41,50,30,34,25,34.75,UNKNOWN,Yes,No
19,F,2003,88,WY,82009,40,50,31,33,25,34.75,UNKNOWN,Yes,No
19,M,2004,83,OH,43017,43,44,27,44,24,34.75,UNKNOWN,Yes,No
20,F,2005,88,MN,55025,35,45,21,44,29,34.75,S,Yes,No
18,M,2003,88,CO,80921,36,35,33,40,31,34.75,S,Yes,No
21,F,2004,87,FL,32548,42,55,30,32,22,34.75,S,Yes,No
20,M,2005,84,NY,12758,36,39,31,36,33,34.75,S,Yes,No
19,M,2004,83,TX,76031,37,52,35,24,28,34.75,S,Yes,No
27,M,2004,83,NM,88310,41,44,33,39,23,34.75,S,Yes,No
22,F,2004,80,CA,95822,40,44,28,37,30,34.75,S,Yes,No
19,M,2005,78,CO,80233,41,49,24,33,33,34.75,S,Yes,No
20,M,2005,76,NC,28308,41,39,26,44,30,34.75,S,Yes,No
25,F,2005,93,PA,19054,36,72,25,36,6,34.75,M,Yes,No
23,F,2004,90,WI,53185,36,50,39,24,26,34.75,M,Yes,No
18,F,2003,89,UT,84056,37,43,38,38,20,34.75,M,Yes,No
37,M,2005,87,NJ,08021,30,23,25,44,47,34.75,M,Yes,No
19,M,2004,86,HI,96707,43,49,31,28,31,34.75,M,Yes,No
27,M,2004,77,TX,77021,42,49,33,40,17,34.75,M,Yes,No
19,M,2004,76,OK,73703,37,45,28,33,33,34.75,M,Yes,No
26,M,2003,70,TX,77021,42,49,33,40,17,34.75,M,Yes,No
23,F,2004,93,NM,80230,45,45,16,49,29,34.75,D,Yes,No
19,F,2003,80,AL,36066,37,49,35,30,25,34.75,D,Yes,No
23,F,2003,90,OH,43614,32,61,29,26,24,35,UNKNOWN,Yes,No
19,F,2003,83,SD,57231,40,55,30,29,26,35,UNKNOWN,Yes,No
31,?,2004,77,AR,72076,39,50,32,32,26,35,UNKNOWN,Yes,No
19,F,2004,92,CA,93535,41,56,33,28,23,35,S,Yes,No
19,M,2004,92,CA,93010,42,51,23,34,32,35,S,Yes,No
43,M,2004,81,NY,10463,35,37,36,38,29,35,S,Yes,No
19,F,2004,79,NM,88101,37,35,19,44,42,35,S,Yes,No
18,M,2005,76,NC,27205,42,49,34,36,21,35,S,Yes,No
35,M,2005,75,OK,74401,26,49,33,32,26,35,S,Yes,No
23,M,2004,94,AE,9012,36,43,33,33,31,35,M,Yes,No
44,M,2004,90,CA,93550,26,32,47,30,31,35,M,Yes,No
33,F,2004,88,IL,62221,40,45,22,38,35,35,M,Yes,No
39,M,2004,85,MA,01082,23,23,33,36,48,35,M,Yes,No
19,M,2004,81,HI,96795,42,49,24,38,29,35,M,Yes,No
20,M,2005,79,IL,60155,38,45,35,32,29,35.25,S,No,Yes
24,M,2003,78,NY,11236,36,28,31,49,33,35.25,S,No,Yes
19,F,2004,89,AR,72023,40,41,30,42,28,35.25,W,Yes,No
19,F,2003,85,CO,80917,42,48,24,39,30,35.25,UNKNOWN,Yes,No
23,M,2003,83,WA,98687,38,57,32,25,27,35.25,UNKNOWN,Yes,No
20,F,2005,95,NC,27703,37,56,45,23,17,35.25,S,Yes,No
20,M,2003,87,GA,31602,37,43,40,38,20,35.25,S,Yes,No
20,M,2003,83,OK,73130,42,50,35,36,20,35.25,S,Yes,No
19,M,2004,83,CA,93291,36,41,36,33,31,35.25,S,Yes,No
19,F,2004,82,NY,14519,40,42,34,39,26,35.25,S,Yes,No
20,F,2004,81,MS,38619,40,37,34,44,26,35.25,S,Yes,No
20,M,2004,77,WY,82005,36,39,26,36,40,35.25,S,Yes,No
20,M,2004,75,MT,59405,41,48,35,36,22,35.25,S,Yes,No
19,M,2005,88,AZ,85706,36,47,26,30,38,35.25,M,Yes,No
21,F,2003,88,AK,99506,37,47,26,32,36,35.25,M,Yes,No
20,M,2004,82,AE,9123,37,47,31,32,31,35.25,M,Yes,No
29,M,2003,79,OH,43608,35,33,31,37,40,35.25,M,Yes,No
24,M,2003,74,VA,22401,41,37,26,49,29,35.25,M,Yes,No
19,F,2005,83,TX,78245,36,39,12,42,48,35.25,D,Yes,No
29,M,2004,80,CA,92225,30,32,35,33,41,35.25,D,Yes,No
18,F,2003,88,TX,76548,40,57,34,27,24,35.5,UNKNOWN,Yes,No
18,M,2003,87,PA,19149,36,44,29,36,33,35.5,UNKNOWN,Yes,No
19,M,2003,79,IA,50220,35,39,35,33,35,35.5,UNKNOWN,Yes,No
18,F,2003,93,PA,17363,44,47,25,42,28,35.5,S,Yes,No
23,M,2004,92,MI,48642,34,30,24,39,49,35.5,S,Yes,No
22,M,2004,90,MO,64093,40,55,31,28,28,35.5,S,Yes,No
19,F,2004,84,OK,73064,40,44,36,37,25,35.5,S,Yes,No
19,F,2004,83,PA,17363,44,47,25,42,28,35.5,S,Yes,No
18,M,2004,83,TX,78114,36,41,26,36,39,35.5,S,Yes,No
20,M,2004,80,GA,30341,37,43,40,36,23,35.5,S,Yes,No
19,M,2004,80,UT,84041,40,51,32,32,27,35.5,S,Yes,No
19,M,2004,75,GA,31601,44,52,23,38,29,35.5,S,Yes,No
19,M,2004,75,NJ,7050,48,52,20,47,23,35.5,S,Yes,No
20,F,2004,71,TX,78758,44,50,21,40,31,35.5,S,Yes,No
33,M,2004,92,GU,96932,31,56,17,33,36,35.5,M,Yes,No
20,M,2003,84,NC,27534,41,41,33,44,24,35.5,M,Yes,No
21,F,2004,84,WA,98513,36,47,39,30,26,35.5,M,Yes,No
19,M,2004,83,NM,87120,42,49,18,47,28,35.5,M,Yes,No
20,M,2004,81,TX,78840,37,39,26,42,35,35.5,M,Yes,No
42,M,2004,80,VA,23150,32,37,44,30,31,35.5,M,Yes,No
43,F,2004,98,PA,18928,36,50,19,42,31,35.5,D,Yes,No
30,F,2004,86,CA,95687,39,35,33,44,30,35.5,D,Yes,No
22,F,2004,82,KS,67037,42,55,26,32,29,35.5,D,Yes,No
21,M,2003,86,AR,72116,37,41,28,38,36,35.75,S,No,Yes
18,F,2003,94,LA,71270,42,51,28,34,30,35.75,UNKNOWN,Yes,No
28,F,2003,90,AK,99501,41,39,30,44,30,35.75,UNKNOWN,Yes,No
18,F,2004,84,GA,30161,36,46,31,37,29,35.75,UNKNOWN,Yes,No
20,F,2004,84,TX,79901,42,55,34,33,21,35.75,UNKNOWN,Yes,No
21,F,2003,83,TX,76148,40,57,32,27,27,35.75,UNKNOWN,Yes,No
20,F,2003,76,FL,32907,42,46,28,41,28,35.75,UNKNOWN,Yes,No
20,M,2004,76,MD,21206,33,48,42,23,30,35.75,UNKNOWN,Yes,No
20,F,2005,91,SC,29483,42,52,35,32,24,35.75,S,Yes,No
18,F,2003,85,TX,78218,41,41,33,44,25,35.75,S,Yes,No
19,M,2004,83,TX,76908,36,39,31,38,35,35.75,S,Yes,No
22,M,2005,82,MI,48506,36,30,19,44,50,35.75,S,Yes,No
19,F,2003,93,UT,84015,40,43,34,40,26,35.75,M,Yes,No
19,F,2004,91,AE,9603,43,52,31,36,24,35.75,M,Yes,No
22,F,2004,87,SC,29485,43,47,25,42,29,35.75,M,Yes,No
34,F,2004,86,VI,00841,35,28,24,51,40,35.75,M,Yes,No
34,M,2004,86,FL,32822,36,45,40,30,28,35.75,M,Yes,No
34,M,2003,82,MO,63042,28,20,50,17,56,35.75,M,Yes,No
24,F,2003,80,OK,73160,36,37,33,38,35,35.75,M,Yes,No
19,M,2003,78,AR,72076,36,39,40,36,28,35.75,M,Yes,No
20,M,2004,73,SD,57701,36,47,47,30,20,36,D,No,Yes
38,M,2004,90,TX,78203,36,48,28,39,29,36,UNKNOWN,Yes,No
20,F,2003,84,IL,60527,36,42,28,42,32,36,UNKNOWN,Yes,No
53,M,2003,84,VA,22603,27,24,30,27,63,36,UNKNOWN,Yes,No
22,M,2003,80,TX,79849,36,40,49,27,28,36,UNKNOWN,Yes,No
25,M,2005,89,PA,15317,29,48,20,29,47,36,S,Yes,No
21,M,2004,86,OK,73135,34,37,37,33,37,36,S,Yes,No
